L,auc_hapax,auc_lambda_G,auc_sqrt,cllr_hapax,cllr_lambda_G,cllr_sqrt,cllrmin_hapax,cllrmin_lambda_G,cllrmin_sqrt,dataset,engine,n,secs,seg
300,0.7247,0.7271,0.7271,1.7404,10.1133,0.9799,0.8666,0.8644,0.8644,french_dracor,kn,2000,154,w10
150,0.6524,0.6533,0.6533,1.7784,6.751,1.0356,0.9368,0.9333,0.9333,french_dracor,kn,2000,112,w10
0,0.9328,0.9346,0.9345,0.9714,14.3257,0.5657,0.4505,0.4477,0.4479,french_dracor,kn,2000,1455,w20
1200,0.8507,0.8532,0.8532,1.6134,23.7305,0.9068,0.6708,0.668,0.6678,french_dracor,kn,2000,399,w20
600,0.784,0.7872,0.7872,1.7366,15.9617,0.9543,0.7908,0.7848,0.7848,french_dracor,kn,2000,233,w20
300,0.7264,0.7284,0.7284,1.7416,10.1423,0.9766,0.8685,0.8628,0.8628,french_dracor,kn,2000,160,w20
150,0.6596,0.6596,0.6596,1.7945,6.8486,1.0368,0.9318,0.9288,0.9288,french_dracor,kn,2000,116,w20
0,0.9324,0.9341,0.9341,0.9659,14.2743,0.5641,0.4528,0.4485,0.4489,french_dracor,kn,2000,1565,w30
1200,0.8512,0.8544,0.8544,1.5792,23.0668,0.8894,0.6678,0.6628,0.663,french_dracor,kn,2000,438,w30
600,0.7909,0.7937,0.7937,1.6623,15.2529,0.928,0.7764,0.7737,0.7737,french_dracor,kn,2000,233,w30
300,0.7302,0.7317,0.7317,1.7201,10.0067,0.9724,0.8625,0.8574,0.8574,french_dracor,kn,2000,151,w30
150,0.6545,0.6551,0.6551,1.7655,6.725,1.0311,0.9354,0.931,0.931,french_dracor,kn,2000,120,w30
0,0.9277,0.9282,0.9282,0.9583,17.5942,0.6498,0.4678,0.4603,0.459,french_poetree,kn,2000,1620,w10
1200,0.8639,0.8686,0.8686,1.3784,24.3071,0.8855,0.6426,0.6297,0.6299,french_poetree,kn,2000,409,w10
600,0.7982,0.8021,0.8021,1.3684,15.0981,0.9021,0.7706,0.7618,0.7618,french_poetree,kn,2000,230,w10
300,0.7126,0.7193,0.7193,1.5469,10.6218,1.0034,0.8836,0.875,0.875,french_poetree,kn,2000,145,w10
150,0.612,0.6181,0.6181,1.76,8.0478,1.1166,0.9549,0.9461,0.9461,french_poetree,kn,2000,104,w10
0,0.9304,0.9309,0.931,0.9224,17.0101,0.6275,0.4569,0.4485,0.4485,french_poetree,kn,2000,1376,w20
1200,0.8685,0.8725,0.8725,1.3156,23.1806,0.852,0.6315,0.622,0.6224,french_poetree,kn,2000,360,w20
600,0.8032,0.8066,0.8066,1.3286,14.6543,0.8831,0.761,0.7549,0.7549,french_poetree,kn,2000,208,w20
300,0.7168,0.7248,0.7248,1.5165,10.3564,0.99,0.8787,0.8654,0.8654,french_poetree,kn,2000,130,w20
150,0.6163,0.6224,0.6224,1.7953,8.2565,1.1265,0.9521,0.9458,0.9458,french_poetree,kn,2000,96,w20
0,0.9291,0.9298,0.9299,0.931,17.1599,0.6314,0.4609,0.4555,0.455,french_poetree,kn,2000,1290,w30
1200,0.869,0.8726,0.8725,1.2932,22.8195,0.8423,0.6325,0.6224,0.6234,french_poetree,kn,2000,351,w30
600,0.8034,0.8064,0.8064,1.3061,14.4493,0.8759,0.7564,0.7529,0.7529,french_poetree,kn,2000,241,w30
300,0.7131,0.7202,0.7202,1.5551,10.7211,1.006,0.8829,0.8749,0.8749,french_poetree,kn,2000,149,w30
150,0.6206,0.625,0.625,1.7358,7.969,1.1106,0.9513,0.9434,0.9434,french_poetree,kn,2000,98,w30
0,0.9323,0.9335,0.9336,1.3248,20.6038,0.6934,0.4271,0.4279,0.4275,german_dracor,kn,2000,1646,w10
1200,0.886,0.8871,0.8871,1.5643,23.6095,0.8525,0.5842,0.5831,0.5835,german_dracor,kn,2000,425,w10
600,0.8393,0.8407,0.8407,1.4434,13.1601,0.818,0.6913,0.6882,0.6882,german_dracor,kn,2000,242,w10
300,0.7474,0.7494,0.7494,1.6327,9.5276,0.9313,0.8306,0.8276,0.8276,german_dracor,kn,2000,163,w10
150,0.6644,0.6662,0.6662,1.7124,6.7073,1.0136,0.9156,0.9103,0.9103,german_dracor,kn,2000,124,w10
0,0.9314,0.933,0.9331,1.3273,20.646,0.6908,0.4283,0.4281,0.4284,german_dracor,kn,2000,1487,w20
1200,0.8897,0.8904,0.8904,1.4709,22.0278,0.8133,0.5747,0.5736,0.5742,german_dracor,kn,2000,391,w20
600,0.8374,0.839,0.839,1.4126,12.9249,0.8088,0.6925,0.6922,0.6922,german_dracor,kn,2000,213,w20
300,0.7524,0.7549,0.7549,1.6,9.3499,0.9195,0.8272,0.8247,0.8247,german_dracor,kn,2000,137,w20
150,0.6608,0.6624,0.6624,1.8243,7.2329,1.0423,0.914,0.9123,0.9123,german_dracor,kn,2000,100,w20
0,0.9334,0.9352,0.9353,1.2905,20.0033,0.673,0.4193,0.4186,0.4182,german_dracor,kn,2000,1356,w30
1200,0.8896,0.8899,0.89,1.4472,21.7632,0.8034,0.5723,0.5728,0.573,german_dracor,kn,2000,423,w30
600,0.8439,0.8454,0.8454,1.3488,12.3127,0.7834,0.6812,0.6803,0.6803,german_dracor,kn,2000,224,w30
300,0.7549,0.7569,0.7569,1.5671,9.142,0.9103,0.8237,0.822,0.822,german_dracor,kn,2000,139,w30
150,0.6627,0.6638,0.6638,1.7302,6.7623,1.0197,0.9161,0.9097,0.9097,german_dracor,kn,2000,115,w30
0,0.9888,0.9891,0.9891,0.2228,2.9274,0.2018,0.179,0.1782,0.179,german_poetree,kn,2000,1550,w10
1200,0.9365,0.9368,0.9366,0.7813,11.4705,0.5465,0.4453,0.4436,0.4438,german_poetree,kn,2000,430,w10
600,0.8906,0.8908,0.8908,0.9155,8.6209,0.6538,0.582,0.5805,0.5805,german_poetree,kn,2000,248,w10
300,0.8175,0.8167,0.8167,1.0963,6.8545,0.7847,0.7367,0.7395,0.7395,german_poetree,kn,2000,155,w10
150,0.7209,0.7238,0.7238,1.3416,5.6649,0.9294,0.8701,0.8662,0.8662,german_poetree,kn,2000,105,w10
0,0.9899,0.9901,0.9901,0.212,2.7604,0.194,0.1703,0.1686,0.1687,german_poetree,kn,2000,1303,w20
1200,0.9377,0.938,0.9379,0.7691,11.3298,0.5373,0.4414,0.44,0.4402,german_poetree,kn,2000,359,w20
600,0.8885,0.8894,0.8894,0.9237,8.6968,0.6553,0.5891,0.5851,0.5851,german_poetree,kn,2000,201,w20
300,0.8221,0.8211,0.8211,1.0651,6.6195,0.7755,0.7296,0.7329,0.7329,german_poetree,kn,2000,127,w20
150,0.7275,0.7289,0.7289,1.3937,5.9757,0.9474,0.8656,0.864,0.864,german_poetree,kn,2000,95,w20
0,0.9903,0.9904,0.9903,0.2074,2.6963,0.1918,0.1604,0.1613,0.1624,german_poetree,kn,2000,1249,w30
1200,0.9424,0.9425,0.9423,0.732,10.7193,0.5174,0.42,0.4197,0.4191,german_poetree,kn,2000,346,w30
600,0.8947,0.8946,0.8946,0.8904,8.4102,0.6415,0.5703,0.5755,0.5755,german_poetree,kn,2000,201,w30
300,0.8243,0.823,0.823,1.057,6.5244,0.7706,0.7246,0.7286,0.7286,german_poetree,kn,2000,127,w30
150,0.7256,0.7273,0.7273,1.3306,5.6244,0.9284,0.867,0.8657,0.8657,german_poetree,kn,2000,93,w30
0,0.8107,0.8155,0.8156,5.4704,80.5844,2.3235,0.5415,0.5405,0.5403,italian_dracor,kn,1958,1487,w10
1200,0.8077,0.8138,0.8138,2.915,40.9821,1.3325,0.6308,0.6294,0.629,italian_dracor,kn,1958,380,w10
600,0.7801,0.785,0.785,1.9467,17.2799,0.9748,0.7491,0.7477,0.7477,italian_dracor,kn,1958,214,w10
300,0.7204,0.7274,0.7274,1.5671,8.7634,0.9347,0.8661,0.8564,0.8564,italian_dracor,kn,1958,135,w10
