  polish_novels            kn          sent L= 300  AUC 0.535  Cllr   50.626  sqrt 3.115  hapax 7.887  (115s)
  polish_novels            kn          sent L= 150  AUC 0.519  Cllr   26.367  sqrt 2.416  hapax 5.628  (89s)
  portuguese_novels        kn          sent L=full  AUC 0.934  Cllr   11.604  sqrt 0.522  hapax 0.845  (1039s)
  portuguese_novels        kn          sent L=1200  AUC 0.777  Cllr   40.693  sqrt 1.402  hapax 2.877  (310s)
  portuguese_novels        kn          sent L= 600  AUC 0.678  Cllr   40.512  sqrt 1.896  hapax 4.111  (173s)
  portuguese_novels        kn          sent L= 300  AUC 0.576  Cllr   31.091  sqrt 2.065  hapax 4.436  (116s)
  portuguese_novels        kn          sent L= 150  AUC 0.541  Cllr   17.564  sqrt 1.758  hapax 3.541  (88s)
  portuguese_poetree       kn          sent L=full  AUC 0.986  Cllr   67.495  sqrt 2.022  hapax 4.025  (277s)
  portuguese_poetree       kn          sent L=1200  AUC 0.907  Cllr   23.019  sqrt 0.841  hapax 1.391  (112s)
  portuguese_poetree       kn          sent L= 600  AUC 0.801  Cllr   18.082  sqrt 1.000  hapax 1.739  (71s)
  portuguese_poetree       kn          sent L= 300  AUC 0.698  Cllr   22.566  sqrt 1.548  hapax 3.094  (52s)
  portuguese_poetree       kn          sent L= 150  AUC 0.569  Cllr   27.052  sqrt 2.401  hapax 5.104  (40s)
  romanian_dracor          kn          sent L=full  AUC 0.771  Cllr  182.492  sqrt 4.964  hapax 10.669  (696s)
  romanian_dracor          kn          sent L=1200  AUC 0.774  Cllr  115.381  sqrt 3.439  hapax 7.429  (184s)
  romanian_dracor          kn          sent L= 600  AUC 0.758  Cllr   54.287  sqrt 2.375  hapax 5.561  (107s)
  romanian_dracor          kn          sent L= 300  AUC 0.717  Cllr   26.639  sqrt 1.755  hapax 4.090  (67s)
  romanian_dracor          kn          sent L= 150  AUC 0.670  Cllr   18.696  sqrt 1.781  hapax 4.207  (45s)
  romanian_novels          kn          sent L=full  AUC 0.966  Cllr   14.669  sqrt 0.482  hapax 0.909  (1523s)
  romanian_novels          kn          sent L=1200  AUC 0.914  Cllr   24.059  sqrt 0.815  hapax 1.653  (392s)
  romanian_novels          kn          sent L= 600  AUC 0.839  Cllr   20.024  sqrt 1.021  hapax 2.144  (218s)
  romanian_novels          kn          sent L= 300  AUC 0.748  Cllr   15.054  sqrt 1.165  hapax 2.386  (157s)
  romanian_novels          kn          sent L= 150  AUC 0.649  Cllr   13.432  sqrt 1.415  hapax 3.006  (110s)
  russian_dracor           kn          sent L=full  AUC 0.895  Cllr   32.742  sqrt 1.018  hapax 2.219  (1641s)
  russian_dracor           kn          sent L=1200  AUC 0.838  Cllr   37.033  sqrt 1.230  hapax 2.664  (386s)
  russian_dracor           kn          sent L= 600  AUC 0.773  Cllr   22.874  sqrt 1.195  hapax 2.503  (224s)
  russian_dracor           kn          sent L= 300  AUC 0.646  Cllr   18.866  sqrt 1.418  hapax 2.964  (158s)
  russian_dracor           kn          sent L= 150  AUC 0.635  Cllr   11.572  sqrt 1.333  hapax 2.561  (110s)
  russian_poetree          kn          sent L=full  AUC 0.899  Cllr   92.939  sqrt 2.697  hapax 5.142  (732s)
  russian_poetree          kn          sent L=1200  AUC 0.785  Cllr   45.739  sqrt 1.491  hapax 2.624  (264s)
  russian_poetree          kn          sent L= 600  AUC 0.707  Cllr   24.479  sqrt 1.274  hapax 2.206  (168s)
